2026-05-09 01:38:10 | INFO     | views.dashboard | dashboard_view | User 'admin' creating project name='project1'.
2026-05-09 01:38:10 | INFO     | views.dashboard | dashboard_view | Project 'project1' created for user 'admin'.
2026-05-09 01:38:10 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:10 | INFO     | views.dashboard | dashboard_view | Loaded 1 project(s) for user 'admin'.
2026-05-09 01:38:13 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:13 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:38:13 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:38:13 | INFO     | views.dashboard | dashboard_view | Loaded 1 project(s) for user 'admin'.
2026-05-09 01:38:13 | INFO     | views.dashboard | dashboard_view | User 'admin' opening project_id=1.
2026-05-09 01:38:13 | DEBUG    | views.dashboard | _open_project | Loading project data for project_id=1.
2026-05-09 01:38:13 | DEBUG    | views.dashboard | _open_project | Project data loaded for project_id=1: has_extracted_data=False.
2026-05-09 01:38:13 | DEBUG    | views.dashboard | _open_project | Loading PDF bytes for project_id=1.
2026-05-09 01:38:13 | DEBUG    | views.dashboard | _open_project | PDF loaded for project_id=1: 0 bytes.
2026-05-09 01:38:13 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:13 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:38:14 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:38:19 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:19 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:38:19 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:38:21 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:21 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:38:21 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:38:21 | INFO     | views.project | _upload_view | Pipeline triggered for project_id=1, file='synth-switch_v5-4.pdf' (271239 bytes).
2026-05-09 01:38:25 | INFO     | views.project | _upload_view | Pipeline successful for project_id=1.
2026-05-09 01:38:25 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:38:26 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:38:26 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:38:26 | DEBUG    | utils.pdf_renderer | display_pdf | Rendering PDF page 1 (271239 bytes).
2026-05-09 01:38:26 | DEBUG    | utils.pdf_renderer | display_pdf | Page 1 rendered: 240583 bytes PNG.
2026-05-09 01:39:14 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:39:14 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:39:15 | DEBUG    | views.project | project_view | Rendering project view for project_id=1.
2026-05-09 01:39:15 | DEBUG    | utils.pdf_renderer | display_pdf | Rendering PDF page 1 (271239 bytes).
2026-05-09 01:39:15 | DEBUG    | utils.pdf_renderer | display_pdf | Page 1 rendered: 240583 bytes PNG.
2026-05-09 01:41:18 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:18 | DEBUG    | __main__ | <module> | User='admin' opened project_id=1 — rendering project view.
2026-05-09 01:41:18 | INFO     | views.project | project_view | User 'admin' returned to dashboard from project_id=1.
2026-05-09 01:41:18 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:18 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:41:19 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:41:19 | INFO     | views.dashboard | dashboard_view | Loaded 1 project(s) for user 'admin'.
2026-05-09 01:41:28 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:28 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
2026-05-09 01:41:29 | INFO     | views.dashboard | dashboard_view | User 'admin' creating project name='no_template'.
2026-05-09 01:41:29 | INFO     | views.dashboard | dashboard_view | Project 'no_template' created for user 'admin'.
2026-05-09 01:41:29 | DEBUG    | views.dashboard | dashboard_view | Loading projects for user 'admin' (id=1).
2026-05-09 01:41:29 | INFO     | views.dashboard | dashboard_view | Loaded 2 project(s) for user 'admin'.
2026-05-09 01:41:31 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:41:31 | DEBUG    | __main__ | <module> | User='admin' logged in — rendering dashboard.
